index,BriCond,BriLen,chainage,lat,lon,lrp,type,Object Name,distance
56,A,,35.707,23.53015196,90.68979518,LRP036c,Output@Bridge,Output@Bridge56,554.65347
98,,,36.271,23.529916,90.6952219,LRP036a,Road,Road98,335.5545219
99,,,36.607,23.5301382,90.6984997,LRP037,Road,Road99,403.2386651
12711,C,1408.8,37.01,23.53038447,90.70244027,LRP037a,Bridge,Bridge12711,0
12711,C,,37.01,23.53038447,90.70244027,LRP037a,Output@Bridge,Output@Bridge12711,597.3521752
100,,,37.607,23.5307493,90.7082778,LRP038,Road,Road100,76.63201765
101,,,37.685,23.5307771,90.7090278,LRP038a,Road,Road101,650.1524829
102,,,38.04,23.5313882,90.7153611,LRP038b,Road,Road102,190.1692562
103,,,38.466,23.5314716,90.7172216,LRP038c,Road,Road103,15.45938011
104,,,38.543,23.5315271,90.7173604,LRP038d,Road,Road104,26.26317314
105,,,38.56,23.5315827,90.7176104,LRP038e,Road,Road105,45.26608804
106,,,38.607,23.5317216,90.7180271,LRP039,Road,Road106,473.3608478
107,,,39.12,23.5322346,90.72262984,LRP039a,Road,Road107,169.7818124
12713,C,21.8,39.304,23.5324186,90.72428072,LRP040b,Bridge,Bridge12713,0
12713,C,,39.304,23.5324186,90.72428072,LRP040b,Output@Bridge,Output@Bridge12713,279.5860778
108,,,39.607,23.5327216,90.7269993,LRP040,Road,Road108,246.9177869
14606,B,6,39.86,23.53175878,90.72917801,LRP040c,Bridge,Bridge14606,0
14606,B,,39.86,23.53175878,90.72917801,LRP040c,Output@Bridge,Output@Bridge14606,729.0504004
109,,,40.607,23.528916,90.7356108,LRP041,Road,Road109,646.6586183
110,,,41.261,23.5289993,90.7419441,LRP042,Road,Road110,968.0632001
111,,,42.228,23.5293882,90.7514167,LRP042a,Road,Road111,17.00880896
112,,,42.245,23.5293882,90.7515833,LRP042b,Road,Road112,17.29825353
113,,,42.269,23.529416,90.75175,LRP043,Road,Road113,665.3516006
12715,C,16.5,42.936,23.52980506,90.75825325,LRP043a,Bridge,Bridge12715,0
12715,C,,42.936,23.52980506,90.75825325,LRP043a,Output@Bridge,Output@Bridge12715,332.1763029
114,,,43.269,23.5299993,90.7615,LRP044,Road,Road114,1002.235034
115,,,44.269,23.5304438,90.7713049,LRP045,Road,Road115,184.4322127
116,,,44.454,23.5304993,90.7731104,LRP045a,Road,Road116,712.1347084
12716,C,3.9,45.164,23.53076553,90.78007973,LRP046a,Bridge,Bridge12716,0
12716,C,,45.164,23.53076553,90.78007973,LRP046a,Output@Bridge,Output@Bridge12716,105.3155742
117,,,45.269,23.5308049,90.7811104,LRP046,Road,Road117,51.4203855
118,,,45.322,23.5307493,90.7816104,LRP046a,Road,Road118,60.2787979
