,index,road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
41,56,N1,35.707,Box Culvert,LRP036c,CHAR BOUSHEA (2),8.4,A,101125,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.707,21.1,1998.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5301519626506,90.6897951837349,interpolate
42,12711,N1,37.01,PC Box,LRP037a,Daud Kandi Bridge,1408.8,C,104578,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,37.01,9.2,1995.0,17.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5303844733,90.7024402743,interpolate
43,12713,N1,39.304,RCC Girder Bridge,LRP040b,BALDHA KHAL RCC GIDER BRIDGE,21.8,C,101124,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,39.304,7.6,1976.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5324186,90.7242807234,interpolate
44,14606,N1,39.86,Box Culvert,LRP040c,MAIS PARA BOX CULVERT,6.0,B,101129,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,39.86,9.75,1984.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5317587831999,90.7291780095,interpolate
45,12715,N1,42.936,RCC Girder Bridge,LRP043a,Shahid Nagor Bridge,16.5,C,120390,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,42.936,11.5,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5298050611,90.75825325,interpolate
46,12716,N1,45.164,Box Culvert,LRP046a,SARKAR BARI CULVERT,3.9,C,101134,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,45.164,12.0,1978.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5307655282208,90.7800797251533,interpolate
47,12717,N1,46.871,Slab Culvert,LRP047a,AMIRABATH SLAB CULVERT,6.5,C,101140,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,46.871,8.2,1988.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5308683409424,90.7918075171727,interpolate
48,12718,N1,48.384,RCC Bridge,LRP049a,Ginlatoly,15.9,C,112549,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,48.384,11.5,1989.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5318234765,90.8110155135,interpolate
49,59,N1,50.558,Box Culvert,LRP051a,RAIPUR BOX CULVERT,12.2,A,101147,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,50.558,11.6,1988.0,2.0,Comilla,Comilla,Comilla,Gouripur,23.5329743291,90.8309774761999,interpolate
50,12719,N1,52.313,Box Culvert,LRP053a,AITAL BANGA BOX CULVERT,4.5,C,101151,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,52.313,12.0,1993.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5229166652,90.8442186132,interpolate
51,14607,N1,56.006,RCC Girder Bridge,LRP056a,ILLIOT BAZER,28.9,B,112556,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,56.006,9.2,1985.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.510087758207,90.8757204035353,interpolate
52,14608,N1,58.838,Box Culvert,LRP059a,KHAT GHOR BOX CULVERT,5.9,B,101156,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,58.838,8.5,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5060024341,90.9021745389,interpolate
53,14609,N1,60.83,Box Culvert,LRP061a,BAKRA BOX CULVERT,3.0,B,101158,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,60.83,12.2,1988.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5056131416,90.9214660218,interpolate
54,14610,N1,63.098,Slab Culvert,LRP064a,MATIA BAZER,6.0,B,101163,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,63.098,8.4,1989.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5024077848,90.9432418928,interpolate
55,60,N1,63.538,Box Culvert,LRP064c,SONAPUR BOX CULVERT,3.0,A,101169,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,63.538,12.4,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5013551924,90.9473844088999,interpolate
